"provincia_id","provincia_nombre","pais_origen","sexo","edad_quinquenal","cantidad"
90,"TUCUMAN","Otro país","MUJER","70 a 74",27
90,"TUCUMAN","Otro país","MUJER","75 a 79",24
90,"TUCUMAN","Otro país","MUJER","80 a 84",16
90,"TUCUMAN","Otro país","MUJER","85 a 89",11
90,"TUCUMAN","Otro país","MUJER","90 a 94",6
90,"TUCUMAN","Otro país","MUJER","95 y más",3
90,"TUCUMAN","Otro país","VARON","0 a 4",10
90,"TUCUMAN","Otro país","VARON","5 a 9",22
90,"TUCUMAN","Otro país","VARON","10 a 14",57
90,"TUCUMAN","Otro país","VARON","15 a 19",66
90,"TUCUMAN","Otro país","VARON","20 a 24",84
90,"TUCUMAN","Otro país","VARON","25 a 29",81
90,"TUCUMAN","Otro país","VARON","30 a 34",106
90,"TUCUMAN","Otro país","VARON","35 a 39",96
90,"TUCUMAN","Otro país","VARON","40 a 44",112
90,"TUCUMAN","Otro país","VARON","45 a 49",77
90,"TUCUMAN","Otro país","VARON","50 a 54",75
90,"TUCUMAN","Otro país","VARON","55 a 59",67
90,"TUCUMAN","Otro país","VARON","60 a 64",49
90,"TUCUMAN","Otro país","VARON","65 a 69",41
90,"TUCUMAN","Otro país","VARON","70 a 74",48
90,"TUCUMAN","Otro país","VARON","75 a 79",32
90,"TUCUMAN","Otro país","VARON","80 a 84",24
90,"TUCUMAN","Otro país","VARON","85 a 89",4
90,"TUCUMAN","Otro país","VARON","90 a 94",4
