,Country Code,Year,Ingresos,Electricidad,Contaminación,Crecimiento PBI,Crecimiento PBI per cápita,Desempleo Hombre,Desempleo mujeres,Gasto PBI,Importaciones,Migracion neta,Desempleados con educación avanzada,Tasa de cambio,Pobreza,Mortalidad
278,ATG,1961,,,,,,,,,11000000.0,-685.0,,1.71429000071429,,9.154
279,AUS,1961,,,,2.482656077431983,0.4636705216674528,,,,2369000000.0,64374.0,,0.892856999892857,,8.5
280,AUT,1961,,,,5.537979316845281,4.960717183491752,,,,1485000000.0,-2418.0,,26.000000025,,12.1
281,AZE,1961,,,,,,,,,,-182.0,,,,14.498
282,BDI,1961,,,,-13.746135053983892,-15.870157597821887,,,,17000000.0,15090.0,,50.000000049,,21.409
283,BEL,1961,,,,4.978423063191968,4.63025713410768,,,,,14024.0,,50.000000049,,11.6
284,BEN,1961,,,,3.141280456412133,1.5673265729585069,,,,25000000.0,-4797.0,,245.26010162116,,28.142
285,BFA,1961,,,,4.043927977549245,2.55227305245495,,,,28000000.0,-24796.0,,245.26010162116,,26.912
286,BGD,1961,,,,6.058160825481281,3.01980165923581,,,,,26505.0,,,,20.509
287,BGR,1961,,,,,,,,,666000000.0,-707.0,,0.001169999999,,7.9
288,BHR,1961,,,,,,,,,186000000.0,1089.0,,,,14.72
289,BHS,1961,,,,10.667097425137342,5.405126232599855,,,,85000000.0,2548.0,,1.02041,,8.098
290,BIH,1961,,,,,,,,,,-11825.0,,,,9.105
291,BLR,1961,,,,,,,,,,-30609.0,,,,7.574
292,BLZ,1961,,,,4.892277219026823,2.2586987067707724,,,,16000000.0,-374.0,,1.42857000042857,,15.079
293,BMU,1961,,,,4.679999998909452,2.1492747242105423,,,,,397.0,,0.85714,,
294,BOL,1961,,,,2.0892959357046834,0.006128821675702056,,,,78000000.0,-3636.0,,1.188e-05,,22.637
295,BRA,1961,,,,8.600000000000136,5.374303544478721,,,,1460000000.0,369.0,,1.16843478826882e-13,,13.662
296,BRB,1961,,,,,,,,,47000000.0,-3760.0,,1.71429000071429,,9.194
297,BRN,1961,,,,,,,,,16000000.0,1311.0,,3.06122000206122,,10.73
298,BTN,1961,,,,,,,,,,1594.0,,4.7619000037619,,29.361
299,BWA,1961,,,,6.343283719672101,4.003501514845723,,,,8000000.0,-4162.0,,0.714694435086178,,16.301
300,CAF,1961,,,,4.95355379797229,3.073628194910796,,,,22000000.0,485.0,,245.26010162116,,24.9
301,CAN,1961,,,,3.163291683712984,1.121346226011454,,,,6062000000.0,24186.0,,1.01306251583333,,7.7
302,CEB,1961,,,,,,,,,,-2870.0,,,,8.49502251033684
303,CHE,1961,,,,,,,,,2663000000.0,101265.0,,4.37295000337295,,9.4
304,CHI,1961,,,,,,,,,,763.0,,,,13.3363574506691
305,CHL,1961,,,,5.245271884456486,3.071444281440506,,,,711000000.0,-27959.0,,0.00105013600777515,,10.748
306,CHN,1961,,,,-27.270000003922718,-26.527643606403956,,,,1747000000.0,-179064.0,,2.46180889882528,,14.24
307,CIV,1961,,,,9.932555156118127,5.942563211176008,,,,169000000.0,36410.0,,245.26010162116,,26.332
308,CMR,1961,,,,1.1836808110119819,-0.4263335122541605,,,,96000000.0,0.0,,245.26010162116,,28.151
309,COD,1961,,,,-10.851376083633653,-13.107927867665907,,,,200000000.0,35662.0,,1.75e-13,,23.642
310,COG,1961,,,,8.35072672427799,5.576731464886279,,,,79000000.0,0.0,,245.26010162116,,17.09
311,COL,1961,,,,5.089216984391072,1.8764473715372674,,,,557000000.0,-49408.0,,6.7,,11.477
312,COM,1961,,,,,,,,,4000000.0,-726.0,,245.25802330132,,24.68
313,CPV,1961,,,,,,,,,6000000.0,55.0,,28.75000002875,,17.847
314,CRI,1961,,,,1.879276556364104,-1.7573665451509015,,,,107000000.0,1550.0,,5.95166667161833,,9.926
315,CSS,1961,,,,10.099065386898502,8.038270404213563,,,,889000000.0000005,-49945.0,,,,9.614624706458597
316,CUB,1961,,,,,,,,,703000000.0,-33163.0,,0.999999999,,8.545
317,CUW,1961,,,,,,,,,,-1160.0,,,,7.93
318,CYM,1961,,,,,,,,,,1.0,,0.714285714795918,,
319,CYP,1961,,,,,,,,,107000000.0,-3395.0,,0.357142999357143,,9.814
320,CZE,1961,,,,,,,,,,-7202.0,,,,9.9
321,DEU,1961,,,,,,,,,11011000000.0,121350.0,,4.03333333636667,,11.6
322,DJI,1961,,,,,,,,,38000000.0,1136.0,,214.392000213392,,20.006
323,DMA,1961,,,,,,,,,6000000.0,-518.0,,1.71429000071429,,12.858
324,DNK,1961,,,,6.378832475573844,5.63874355341882,,,,1873000000.0,-400.0,,6.90714000590714,,9.4
325,DOM,1961,,,,-2.313248749952251,-5.477191878209169,,,,80000000.0,-8018.0,,1.0,,16.33
326,DZA,1961,,,,-13.60544132459927,-15.127218311281041,,,,1024000000.0,-111448.0,,4.93706000393706,,23.723
327,EAP,1961,,,,-13.471097100756879,-13.42570843595037,,,,5840538949.767615,-336580.0,,,,14.477375709998151
